city,lat,lon,datetime,aqi,pm2_5,pm10,no2,so2,o3,co,date
Bangalore,12.9629,77.5775,2025-12-19 21:30:00,3,47.92,58.02,15.31,4.32,74.16,453.59,2025-12-19
Bangalore,12.9629,77.5775,2025-12-19 22:30:00,3,48.36,58.96,15.0,4.04,66.73,466.17,2025-12-19
Bangalore,12.9629,77.5775,2025-12-19 23:30:00,3,48.65,59.03,14.67,3.7,61.29,469.55,2025-12-19
Bangalore,12.9629,77.5775,2025-12-20 00:30:00,3,48.76,58.35,13.77,3.11,55.3,461.95,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 01:30:00,3,49.67,58.98,12.4,2.53,49.17,458.77,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 02:30:00,4,51.15,60.51,11.3,2.24,44.2,457.44,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 03:30:00,4,53.05,62.59,10.45,2.19,40.4,455.5,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 04:30:00,4,55.69,65.44,9.92,2.25,37.61,457.56,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 05:30:00,4,58.53,68.56,9.92,2.41,35.15,463.59,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 06:30:00,4,60.62,71.25,11.07,2.74,32.06,479.6,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 07:30:00,4,62.35,74.39,14.19,3.12,27.06,522.66,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 08:30:00,4,64.37,77.45,14.5,3.56,27.98,568.22,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 09:30:00,4,73.4,84.28,8.8,6.6,66.98,481.0,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 10:30:00,5,81.0,91.53,6.58,7.21,90.49,454.71,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 11:30:00,5,91.72,102.01,4.58,7.22,115.57,437.56,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 12:30:00,5,93.9,102.51,2.85,6.28,135.64,384.33,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 13:30:00,5,89.02,96.4,2.51,5.5,139.17,355.04,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 14:30:00,5,85.62,92.43,2.7,5.14,138.69,341.33,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 15:30:00,5,85.86,92.54,3.29,5.11,138.95,340.1,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 16:30:00,5,87.44,94.29,4.45,5.3,138.07,347.87,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 17:30:00,5,89.0,96.13,6.4,5.61,133.85,360.35,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 18:30:00,5,91.34,99.02,8.17,5.96,124.83,376.09,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 19:30:00,5,94.96,103.61,9.34,6.23,114.68,398.22,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 20:30:00,5,98.23,107.82,9.65,6.26,105.62,417.75,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 21:30:00,5,99.0,109.09,9.09,5.68,93.61,421.08,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 22:30:00,5,101.78,112.32,8.94,5.47,86.5,427.74,2025-12-20
Bangalore,12.9629,77.5775,2025-12-20 23:30:00,5,104.36,114.9,8.71,5.47,83.02,427.87,2025-12-20
Bangalore,12.9629,77.5775,2025-12-21 00:30:00,5,105.27,115.38,8.38,4.91,77.72,423.8,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 01:30:00,5,106.74,116.81,7.95,4.13,70.43,427.25,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 02:30:00,5,108.16,118.37,7.36,3.74,64.43,429.16,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 03:30:00,5,109.19,119.61,6.85,3.68,60.07,428.34,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 04:30:00,5,110.91,121.55,6.52,3.82,57.48,429.63,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 05:30:00,5,113.0,123.9,6.58,4.06,55.54,433.24,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 06:30:00,5,114.43,125.9,7.61,4.44,52.8,443.77,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 07:30:00,5,115.74,128.49,10.57,5.09,48.85,478.33,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 08:30:00,5,116.9,130.43,12.12,5.83,51.01,510.2,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 09:30:00,5,113.91,125.59,7.55,9.36,90.28,448.52,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 10:30:00,5,114.45,125.58,5.64,9.56,108.94,431.45,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 11:30:00,5,116.32,126.75,3.7,9.27,128.84,412.61,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 12:30:00,5,113.46,122.58,2.18,8.35,141.5,379.48,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 13:30:00,5,108.02,116.27,1.92,7.25,142.73,360.54,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 14:30:00,5,103.94,111.69,2.09,6.66,142.81,351.24,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 15:30:00,5,102.43,109.98,2.62,6.46,144.14,350.91,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 16:30:00,5,101.37,108.86,3.74,6.48,143.72,353.67,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 17:30:00,5,100.07,107.59,5.48,6.69,140.01,360.38,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 18:30:00,5,99.21,107.11,7.72,6.93,130.61,375.14,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 19:30:00,5,100.44,109.22,9.31,7.08,119.68,400.07,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 20:30:00,5,102.17,111.82,9.91,7.05,110.73,420.38,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 21:30:00,5,100.5,110.53,9.58,6.21,98.46,424.85,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 22:30:00,5,99.5,109.86,9.46,5.51,88.98,430.06,2025-12-21
Bangalore,12.9629,77.5775,2025-12-21 23:30:00,5,98.1,108.3,9.35,4.86,81.46,427.97,2025-12-21
Bangalore,12.9629,77.5775,2025-12-22 00:30:00,5,96.36,106.01,8.83,4.45,76.43,417.62,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 01:30:00,5,95.67,105.26,8.23,4.34,73.53,415.54,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 02:30:00,5,94.59,104.21,7.48,4.26,70.66,412.68,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 03:30:00,5,93.19,102.86,6.81,4.25,67.88,409.03,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 04:30:00,5,92.63,102.42,6.43,4.35,65.89,408.65,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 05:30:00,5,92.36,102.4,6.56,4.57,64.27,410.58,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 06:30:00,5,91.48,102.24,7.9,4.92,61.58,421.98,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 07:30:00,5,90.49,102.85,11.72,5.4,56.49,460.19,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 08:30:00,5,87.83,100.95,13.99,5.7,56.62,485.5,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 09:30:00,4,70.66,80.64,8.65,6.38,84.57,374.76,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 10:30:00,4,62.29,71.4,7.17,6.07,91.61,346.73,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 11:30:00,4,56.86,65.13,5.39,5.55,101.22,323.32,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 12:30:00,4,50.05,56.66,3.3,4.53,116.71,285.94,2025-12-22
Bangalore,12.9629,77.5775,2025-12-22 13:30:00,3,43.23,48.77,2.7,3.82,119.83,259.81,2025-12-22
